params,mean_test_score,std_test_score,rank_test_score
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 900, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7714203652337923,0.09783098196236174,52
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 900, 'max_depth': 11, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.783231093183532,0.10018388911484906,10
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 900, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7846539349058205,0.09798893714721987,5
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7709968110530383,0.10257355291164129,53
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7821217733774362,0.09802766054601884,13
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 900, 'max_depth': 8, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",0.7800687205085155,0.09448025595777605,20
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 900, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.781530988461724,0.09485188078463723,15
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7640864967144787,0.10031683148540878,69
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 700, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7511547471583775,0.10325505775424108,77
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7356332158516901,0.10675847534620088,80
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.7774501573088248,0.09542383215870699,33
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7689845097303079,0.10142894696302575,58
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 700, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7761570394323912,0.10627954064381513,38
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 11, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.7772083563576125,0.10134182010292879,34
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 9, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.7619165303856448,0.10017793147260291,70
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 11, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7709858236245907,0.10325773518266204,54
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7736726177069501,0.09552451611964587,50
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 900, 'max_depth': 9, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.7844042572183381,0.0923416541894983,7
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.747218370831162,0.10488969878165656,78
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 900, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.7708409507787177,0.1025221682022013,55
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.08, 'colsample_bytree': 0.8}",0.7745662697408244,0.10030208265962202,44
